Point ID,alphat,arc_length,epsilon,k,nut,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,2.74587e-06,0,18185.2,5.7619,2.34642e-06,-55.8777,-55.8787,0,0,0.001,0.001,300,0,0,0,0,1
1,2.14178e-06,0.00024,19317.5,5.8818,1.83021e-06,-61.0934,-61.0942,0.00024,0,0.001,0.0010284,300.001,0,0,0,0,1
2,1.53769e-06,0.00048,20449.7,6.00171,1.314e-06,-66.3091,-66.3097,0.00048,0,0.001,0.00110923,300.001,0,0,0,0,1
3,9.33596e-07,0.00072,21582,6.12162,7.97784e-07,-71.5248,-71.5252,0.00072,0,0.001,0.00123223,300.001,0,0,0,0,1
4,3.29505e-07,0.00096,22714.3,6.24153,2.81571e-07,-76.7406,-76.7407,0.00096,0,0.001,0.00138622,300.001,0,0,0,0,1
5,0,0.0012,22210.5,6.25309,0,-76.4325,-76.4325,0.0012,0,0.001,0.00156205,300.002,0,0,0,0,1
6,0,0.00144,19743.4,6.13464,0,-69.4959,-69.4959,0.00144,0,0.001,0.00175317,300.004,0,0,0,0,1
7,0,0.00168,17276.4,6.01618,0,-62.5593,-62.5593,0.00168,0,0.001,0.0019551,300.005,0,0,0,0,1
8,0,0.00192,14809.4,5.89772,0,-55.6227,-55.6227,0.00192,0,0.001,0.00216481,300.006,0,0,0,0,1
9,0,0.00216,12342.3,5.77927,0,-48.6861,-48.6861,0.00216,0,0.001,0.00238025,300.008,0,0,0,0,1
10,0,0.0024,10516.1,5.80427,0,-46.5314,-46.5314,0.0024,0,0.001,0.0026,300.011,0,0,0,0,1
11,0,0.00264,8753.85,5.84361,0,-44.855,-44.855,0.00264,0,0.001,0.00282305,300.015,0,0,0,0,1
12,0,0.00288,6991.65,5.88295,0,-43.1785,-43.1785,0.00288,0,0.001,0.00304867,300.019,0,0,0,0,1
13,0,0.00312,5229.44,5.92229,0,-41.502,-41.502,0.00312,0,0.001,0.00327634,300.023,0,0,0,0,1
14,0,0.00336,4114.34,5.96282,0,-39.686,-39.686,0.00336,0,0.001,0.00350565,300.028,0,0,0,0,1
15,0,0.0036,4131.66,6.0054,0,-37.6256,-37.6256,0.0036,0,0.001,0.00373631,300.035,0,0,0,0,1
16,0,0.00384,4148.97,6.04799,0,-35.5653,-35.5653,0.00384,0,0.001,0.00396807,300.042,0,0,0,0,1
17,0,0.00408,4166.29,6.09058,0,-33.505,-33.505,0.00408,0,0.001,0.00420076,300.05,0,0,0,0,1
18,0,0.00432,4183.61,6.13316,0,-31.4446,-31.4446,0.00432,0,0.001,0.00443423,300.057,0,0,0,0,1
19,0,0.00456,5925.81,6.15903,0,-29.7574,-29.7574,0.00456,0,0.001,0.00466836,300.069,0,0,0,0,1
20,0,0.0048,8051.33,6.18117,0,-28.153,-28.153,0.0048,0,0.001,0.00490306,300.082,0,0,0,0,1
21,0,0.00504,10176.8,6.20332,0,-26.5487,-26.5487,0.00504,0,0.001,0.00513825,300.096,0,0,0,0,1
22,0,0.00528,12302.4,6.22547,0,-24.9443,-24.9443,0.00528,0,0.001,0.00537386,300.109,0,0,0,0,1
