Point ID,alphat,arc_length,epsilon,k,nut,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,5.09575e-06,0,35280.2,8.74603,4.15653e-06,-94.4465,-94.4475,0,0,0.001,0.001,300,0,0,0,0,1
1,3.97469e-06,0.00024,36383.5,8.75081,3.2421e-06,-101.985,-101.986,0.00024,0,0.001,0.0010284,300.001,0,0,0,0,1
2,2.85362e-06,0.00048,37486.7,8.7556,2.32766e-06,-109.524,-109.524,0.00048,0,0.001,0.00110923,300.002,0,0,0,0,1
3,1.73256e-06,0.00072,38590,8.76038,1.41322e-06,-117.063,-117.063,0.00072,0,0.001,0.00123223,300.004,0,0,0,0,1
4,6.1149e-07,0.00096,39693.2,8.76517,4.98784e-07,-124.601,-124.601,0.00096,0,0.001,0.00138622,300.005,0,0,0,0,1
5,0,0.0012,39390.3,8.6458,0,-123.689,-123.689,0.0012,0,0.001,0.00156205,300.006,0,0,0,0,1
6,0,0.00144,37399.9,8.37744,0,-112.636,-112.636,0.00144,0,0.001,0.00175317,300.006,0,0,0,0,1
7,0,0.00168,35409.5,8.10909,0,-101.583,-101.583,0.00168,0,0.001,0.0019551,300.007,0,0,0,0,1
8,0,0.00192,33419.1,7.84073,0,-90.5296,-90.5296,0.00192,0,0.001,0.00216481,300.008,0,0,0,0,1
9,0,0.00216,31428.6,7.57238,0,-79.4764,-79.4764,0.00216,0,0.001,0.00238025,300.008,0,0,0,0,1
10,0,0.0024,31665.4,7.60695,0,-76.1832,-76.1832,0.0024,0,0.001,0.0026,300.008,0,0,0,0,1
11,0,0.00264,32124.9,7.67182,0,-73.666,-73.666,0.00264,0,0.001,0.00282305,300.007,0,0,0,0,1
12,0,0.00288,32584.3,7.73668,0,-71.1488,-71.1488,0.00288,0,0.001,0.00304867,300.006,0,0,0,0,1
13,0,0.00312,33043.8,7.80155,0,-68.6316,-68.6316,0.00312,0,0.001,0.00327634,300.005,0,0,0,0,1
14,0,0.00336,33406.2,7.85314,0,-65.7348,-65.7348,0.00336,0,0.001,0.00350565,300.004,0,0,0,0,1
15,0,0.0036,33598.8,7.8815,0,-62.1738,-62.1738,0.0036,0,0.001,0.00373631,300.002,0,0,0,0,1
16,0,0.00384,33791.4,7.90986,0,-58.6128,-58.6128,0.00384,0,0.001,0.00396807,300.001,0,0,0,0,1
17,0,0.00408,33983.9,7.93822,0,-55.0518,-55.0518,0.00408,0,0.001,0.00420076,299.999,0,0,0,0,1
18,0,0.00432,34176.5,7.96658,0,-51.4908,-51.4908,0.00432,0,0.001,0.00443423,299.997,0,0,0,0,1
19,0,0.00456,33549.1,7.87637,0,-48.6779,-48.6779,0.00456,0,0.001,0.00466836,299.995,0,0,0,0,1
20,0,0.0048,32739.5,7.75981,0,-46.0313,-46.0313,0.0048,0,0.001,0.00490306,299.992,0,0,0,0,1
21,0,0.00504,31929.9,7.64324,0,-43.3847,-43.3847,0.00504,0,0.001,0.00513825,299.989,0,0,0,0,1
22,0,0.00528,31120.3,7.52668,0,-40.7381,-40.7381,0.00528,0,0.001,0.00537386,299.987,0,0,0,0,1
23,0,0.00552,30402.5,7.42258,0,-38.1874,-38.1874,0.00552,0,0.001,0.00560985,299.984,0,0,0,0,1
24,0,0.00576,29929.5,7.3517,0,-35.8925,-35.8925,0.00576,0,0.001,0.00584616,299.98,0,0,0,0,1
25,0,0.006,29456.4,7.28082,0,-33.5976,-33.5976,0.006,0,0.001,0.00608276,299.977,0,0,0,0,1
26,0,0.00624,28983.3,7.20995,0,-31.3027,-31.3027,0.00624,0,0.001,0.00631962,299.973,0,0,0,0,1
27,0,0.00648,28510.3,7.13907,0,-29.0078,-29.0078,0.00648,0,0.001,0.00655671,299.97,0,0,0,0,1
28,0,0.00672,28155.4,7.08501,0,-27.1245,-27.1245,0.00672,0,0.001,0.006794,299.967,0,0,0,0,1
29,0,0.00696,27844.9,7.03725,0,-25.3957,-25.3957,0.00696,0,0.001,0.00703147,299.963,0,0,0,0,1
30,0,0.0072,27534.3,6.98949,0,-23.6668,-23.6668,0.0072,0,0.001,0.00726911,299.96,0,0,0,0,1
31,0,0.00744,27223.8,6.94173,0,-21.938,-21.938,0.00744,0,0.001,0.0075069,299.956,0,0,0,0,1
32,0,0.00768,26922.4,6.89522,0,-20.282,-20.282,0.00768,0,0.001,0.00774483,299.953,0,0,0,0,1
33,0,0.00792,26662.2,6.85435,0,-18.9538,-18.9538,0.00792,0,0.001,0.00798288,299.95,0,0,0,0,1
34,0,0.00816,26402,6.81349,0,-17.6256,-17.6256,0.00816,0,0.001,0.00822105,299.948,0,0,0,0,1
35,0,0.0084,26141.8,6.77262,0,-16.2975,-16.2975,0.0084,0,0.001,0.00845931,299.945,0,0,0,0,1
36,0,0.00864,25881.6,6.73175,0,-14.9693,-14.9693,0.00864,0,0.001,0.00869768,299.942,0,0,0,0,1
37,0,0.00888,25617.1,6.68971,0,-13.875,-13.875,0.00888,0,0.001,0.00893613,299.941,0,0,0,0,1
38,0,0.00912,25350.2,6.64701,0,-12.9142,-12.9142,0.00912,0,0.001,0.00917466,299.94,0,0,0,0,1
39,0,0.00936,25083.2,6.6043,0,-11.9534,-11.9534,0.00936,0,0.001,0.00941327,299.939,0,0,0,0,1
40,0,0.0096,24816.3,6.56159,0,-10.9926,-10.9926,0.0096,0,0.001,0.00965194,299.938,0,0,0,0,1
41,0,0.00984,24549.2,6.51878,0,-10.0567,-10.0567,0.00984,0,0.001,0.00989068,299.937,0,0,0,0,1
42,0,0.01008,24279.8,6.47484,0,-9.36893,-9.36893,0.01008,0,0.001,0.0101295,299.937,0,0,0,0,1
43,0,0.01032,24010.5,6.4309,0,-8.68119,-8.68119,0.01032,0,0.001,0.0103683,299.938,0,0,0,0,1
44,0,0.01056,23741.2,6.38696,0,-7.99345,-7.99345,0.01056,0,0.001,0.0106072,299.939,0,0,0,0,1
45,0,0.0108,23471.8,6.34302,0,-7.3057,-7.3057,0.0108,0,0.001,0.0108462,299.94,0,0,0,0,1
46,0,0.01104,23207.3,6.29939,0,-6.7275,-6.7275,0.01104,0,0.001,0.0110852,299.942,0,0,0,0,1
47,0,0.01128,22946.8,6.25602,0,-6.24059,-6.24059,0.01128,0,0.001,0.0113242,299.945,0,0,0,0,1
48,0,0.01152,22686.3,6.21266,0,-5.75367,-5.75367,0.01152,0,0.001,0.0115633,299.949,0,0,0,0,1
49,0,0.01176,22425.8,6.16929,0,-5.26676,-5.26676,0.01176,0,0.001,0.0118024,299.952,0,0,0,0,1
50,0,0.012,22165.3,6.12593,0,-4.77984,-4.77984,0.012,0,0.001,0.0120416,299.955,0,0,0,0,1
51,0,0.01224,21923.3,6.0848,0,-4.43594,-4.43594,0.01224,0,0.001,0.0122808,299.961,0,0,0,0,1
52,0,0.01248,21681.2,6.04368,0,-4.09204,-4.09204,0.01248,0,0.001,0.01252,299.966,0,0,0,0,1
53,0,0.01272,21439.2,6.00256,0,-3.74814,-3.74814,0.01272,0,0.001,0.0127592,299.972,0,0,0,0,1
54,0,0.01296,21197.1,5.96144,0,-3.40424,-3.40424,0.01296,0,0.001,0.0129985,299.978,0,0,0,0,1
55,0,0.0132,20957.9,5.92042,0,-3.10965,-3.10965,0.0132,0,0.001,0.0132378,299.985,0,0,0,0,1
56,0,0.01344,20722.3,5.87953,0,-2.87424,-2.87424,0.01344,0,0.001,0.0134772,299.993,0,0,0,0,1
57,0,0.01368,20486.7,5.83865,0,-2.63882,-2.63882,0.01368,0,0.001,0.0137165,300.001,0,0,0,0,1
58,0,0.01392,20251,5.79776,0,-2.4034,-2.4034,0.01392,0,0.001,0.0139559,300.009,0,0,0,0,1
59,0,0.01416,20015.4,5.75687,0,-2.16799,-2.16799,0.01416,0,0.001,0.0141953,300.018,0,0,0,0,1
60,0,0.0144,19908.9,5.73829,0,-1.99543,-1.99543,0.0144,0,0.001,0.0144347,300.028,0,0,0,0,1
61,0,0.01464,19815.4,5.72194,0,-1.82915,-1.82915,0.01464,0,0.001,0.0146741,300.039,0,0,0,0,1
62,0,0.01488,19721.9,5.70558,0,-1.66288,-1.66288,0.01488,0,0.001,0.0149136,300.05,0,0,0,0,1
63,0,0.01512,19628.4,5.68923,0,-1.4966,-1.4966,0.01512,0,0.001,0.015153,300.061,0,0,0,0,1
64,0,0.01536,18969.5,5.72637,0,-1.34922,-1.34922,0.01536,0,0.001,0.0153925,300.073,0,0,0,0,1
65,0,0.0156,17321.3,5.85713,0,-1.23492,-1.23492,0.0156,0,0.001,0.015632,300.086,0,0,0,0,1
66,0,0.01584,15673.1,5.98789,0,-1.12061,-1.12061,0.01584,0,0.001,0.0158715,300.1,0,0,0,0,1
67,0,0.01608,14024.9,6.11864,0,-1.00631,-1.00631,0.01608,0,0.001,0.0161111,300.113,0,0,0,0,1
68,0,0.01632,12376.7,6.2494,0,-0.892003,-0.892003,0.01632,0,0.001,0.0163506,300.127,0,0,0,0,1
69,0,0.01656,12020.5,6.26315,0,-0.803491,-0.803491,0.01656,0,0.001,0.0165902,300.143,0,0,0,0,1
70,0,0.0168,11951.5,6.25091,0,-0.72071,-0.72071,0.0168,0,0.001,0.0168297,300.159,0,0,0,0,1
71,0,0.01704,11882.5,6.23866,0,-0.63793,-0.63793,0.01704,0,0.001,0.0170693,300.176,0,0,0,0,1
72,0,0.01728,11813.5,6.22641,0,-0.555149,-0.555149,0.01728,0,0.001,0.0173089,300.193,0,0,0,0,1
73,0,0.01752,11761.6,6.21298,0,-0.470583,-0.470583,0.01752,0,0.001,0.0175485,300.21,0,0,0,0,1
74,0,0.01776,11755.1,6.1964,0,-0.381253,-0.381253,0.01776,0,0.001,0.0177881,300.228,0,0,0,0,1
75,0,0.018,11748.7,6.17983,0,-0.291924,-0.291924,0.018,0,0.001,0.0180278,300.247,0,0,0,0,1
76,0,0.01824,11742.3,6.16325,0,-0.202594,-0.202594,0.01824,0,0.001,0.0182674,300.265,0,0,0,0,1
77,0,0.01848,11735.9,6.14667,0,-0.113264,-0.113264,0.01848,0,0.001,0.018507,300.284,0,0,0,0,1
78,0,0.01872,10558.5,6.2226,0,-0.0660757,-0.0660757,0.01872,0,0.001,0.0187467,300.303,0,0,0,0,1
79,0,0.01896,8941.85,6.33323,0,-0.0346901,-0.0346901,0.01896,0,0.001,0.0189864,300.323,0,0,0,0,1
80,0,0.0192,7325.24,6.44385,0,-0.00330444,-0.00330444,0.0192,0,0.001,0.019226,300.342,0,0,0,0,1
81,0,0.01944,5708.63,6.55448,0,0.0280812,0.0280812,0.01944,0,0.001,0.0194657,300.362,0,0,0,0,1
82,0,0.01968,4386.12,6.64543,0,0.0489718,0.0489718,0.01968,0,0.001,0.0197054,300.383,0,0,0,0,1
83,0,0.01992,4387.06,6.64786,0,0.0226346,0.0226346,0.01992,0,0.001,0.0199451,300.408,0,0,0,0,1
