Point ID,alphat,arc_length,epsilon,k,nut,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,3.95393e-06,0,25777.1,7.19028,3.2761e-06,-73.8739,-73.8748,0,0,0.001,0.001,300.001,0,0,0,0,1
1,3.08407e-06,0.00024,26718.1,7.22228,2.55536e-06,-80.2784,-80.2791,0.00024,0,0.001,0.0010284,300.002,0,0,0,0,1
2,2.2142e-06,0.00048,27659.1,7.25428,1.83462e-06,-86.6829,-86.6834,0.00048,0,0.001,0.00110923,300.003,0,0,0,0,1
3,1.34434e-06,0.00072,28600.1,7.28629,1.11387e-06,-93.0874,-93.0877,0.00072,0,0.001,0.00123223,300.004,0,0,0,0,1
4,4.74472e-07,0.00096,29541.1,7.31829,3.93132e-07,-99.4919,-99.492,0.00096,0,0.001,0.00138622,300.005,0,0,0,0,1
5,0,0.0012,29336,7.22642,0,-98.9993,-98.9993,0.0012,0,0.001,0.00156205,300.006,0,0,0,0,1
6,0,0.00144,27755.5,6.98592,0,-90.2302,-90.2302,0.00144,0,0.001,0.00175317,300.007,0,0,0,0,1
7,0,0.00168,26175,6.74541,0,-81.4612,-81.4612,0.00168,0,0.001,0.0019551,300.007,0,0,0,0,1
8,0,0.00192,24594.4,6.50491,0,-72.6921,-72.6921,0.00192,0,0.001,0.00216481,300.008,0,0,0,0,1
9,0,0.00216,23013.9,6.2644,0,-63.923,-63.923,0.00216,0,0.001,0.00238025,300.008,0,0,0,0,1
10,0,0.0024,23126.4,6.28347,0,-61.1763,-61.1763,0.0024,0,0.001,0.0026,300.008,0,0,0,0,1
11,0,0.00264,23408.2,6.32849,0,-59.0319,-59.0319,0.00264,0,0.001,0.00282305,300.007,0,0,0,0,1
12,0,0.00288,23690,6.37352,0,-56.8874,-56.8874,0.00288,0,0.001,0.00304867,300.006,0,0,0,0,1
13,0,0.00312,23971.7,6.41854,0,-54.7429,-54.7429,0.00312,0,0.001,0.00327634,300.005,0,0,0,0,1
14,0,0.00336,24200.1,6.45541,0,-52.3151,-52.3151,0.00336,0,0.001,0.00350565,300.004,0,0,0,0,1
15,0,0.0036,24334.9,6.47801,0,-49.3914,-49.3914,0.0036,0,0.001,0.00373631,300.003,0,0,0,0,1
16,0,0.00384,24469.7,6.50061,0,-46.4678,-46.4678,0.00384,0,0.001,0.00396807,300.001,0,0,0,0,1
17,0,0.00408,24604.6,6.5232,0,-43.5441,-43.5441,0.00408,0,0.001,0.00420076,300,0,0,0,0,1
18,0,0.00432,24739.4,6.5458,0,-40.6205,-40.6205,0.00432,0,0.001,0.00443423,299.998,0,0,0,0,1
19,0,0.00456,24249.3,6.46545,0,-38.3262,-38.3262,0.00456,0,0.001,0.00466836,299.997,0,0,0,0,1
20,0,0.0048,23620.3,6.36222,0,-36.1717,-36.1717,0.0048,0,0.001,0.00490306,299.996,0,0,0,0,1
21,0,0.00504,22991.3,6.25899,0,-34.0172,-34.0172,0.00504,0,0.001,0.00513825,299.995,0,0,0,0,1
22,0,0.00528,22362.3,6.15576,0,-31.8628,-31.8628,0.00528,0,0.001,0.00537386,299.993,0,0,0,0,1
23,0,0.00552,21819.8,6.06621,0,-29.802,-29.802,0.00552,0,0.001,0.00560985,299.992,0,0,0,0,1
24,0,0.00576,21507.7,6.01311,0,-27.9912,-27.9912,0.00576,0,0.001,0.00584616,299.992,0,0,0,0,1
25,0,0.006,21195.6,5.96002,0,-26.1805,-26.1805,0.006,0,0.001,0.00608276,299.992,0,0,0,0,1
26,0,0.00624,20883.5,5.90693,0,-24.3697,-24.3697,0.00624,0,0.001,0.00631962,299.992,0,0,0,0,1
27,0,0.00648,20571.4,5.85384,0,-22.5589,-22.5589,0.00648,0,0.001,0.00655671,299.992,0,0,0,0,1
28,0,0.00672,20366.5,5.81839,0,-21.1061,-21.1061,0.00672,0,0.001,0.006794,299.994,0,0,0,0,1
29,0,0.00696,20201.8,5.78957,0,-19.7876,-19.7876,0.00696,0,0.001,0.00703147,299.996,0,0,0,0,1
30,0,0.0072,20037.1,5.76074,0,-18.4691,-18.4691,0.0072,0,0.001,0.00726911,299.998,0,0,0,0,1
31,0,0.00744,19872.4,5.73191,0,-17.1506,-17.1506,0.00744,0,0.001,0.0075069,300,0,0,0,0,1
32,0,0.00768,19810.8,5.72067,0,-15.888,-15.888,0.00768,0,0.001,0.00774483,300.003,0,0,0,0,1
33,0,0.00792,20212.9,5.78859,0,-14.8774,-14.8774,0.00792,0,0.001,0.00798288,300.009,0,0,0,0,1
34,0,0.00816,20615,5.8565,0,-13.8667,-13.8667,0.00816,0,0.001,0.00822105,300.014,0,0,0,0,1
35,0,0.0084,21017.2,5.92441,0,-12.8561,-12.8561,0.0084,0,0.001,0.00845931,300.02,0,0,0,0,1
36,0,0.00864,21419.3,5.99232,0,-11.8454,-11.8454,0.00864,0,0.001,0.00869768,300.025,0,0,0,0,1
37,0,0.00888,21551.7,6.01456,0,-11.0025,-11.0025,0.00888,0,0.001,0.00893613,300.033,0,0,0,0,1
38,0,0.00912,21529.9,6.01069,0,-10.2556,-10.2556,0.00912,0,0.001,0.00917466,300.042,0,0,0,0,1
39,0,0.00936,21508.2,6.00682,0,-9.50865,-9.50865,0.00936,0,0.001,0.00941327,300.051,0,0,0,0,1
40,0,0.0096,21486.5,6.00295,0,-8.7617,-8.7617,0.0096,0,0.001,0.00965194,300.06,0,0,0,0,1
41,0,0.00984,21273,6.00347,0,-8.03775,-8.03775,0.00984,0,0.001,0.00989068,300.069,0,0,0,0,1
42,0,0.01008,19142.7,6.04791,0,-7.54381,-7.54381,0.01008,0,0.001,0.0101295,300.082,0,0,0,0,1
43,0,0.01032,17012.3,6.09235,0,-7.04986,-7.04986,0.01032,0,0.001,0.0103683,300.095,0,0,0,0,1
44,0,0.01056,14882,6.13679,0,-6.55592,-6.55592,0.01056,0,0.001,0.0106072,300.107,0,0,0,0,1
45,0,0.0108,12751.6,6.18123,0,-6.06198,-6.06198,0.0108,0,0.001,0.0108462,300.12,0,0,0,0,1
46,0,0.01104,10897,6.25842,0,-5.66919,-5.66919,0.01104,0,0.001,0.0110852,300.135,0,0,0,0,1
47,0,0.01128,9272.27,6.3629,0,-5.36069,-5.36069,0.01128,0,0.001,0.0113242,300.152,0,0,0,0,1
48,0,0.01152,7647.51,6.46738,0,-5.05219,-5.05219,0.01152,0,0.001,0.0115633,300.169,0,0,0,0,1
49,0,0.01176,6022.75,6.57186,0,-4.74369,-4.74369,0.01176,0,0.001,0.0118024,300.186,0,0,0,0,1
50,0,0.012,4397.98,6.67634,0,-4.43518,-4.43518,0.012,0,0.001,0.0120416,300.203,0,0,0,0,1
51,0,0.01224,6023.8,6.54593,0,-4.21086,-4.21086,0.01224,0,0.001,0.0122808,300.226,0,0,0,0,1
52,0,0.01248,7649.62,6.41552,0,-3.98653,-3.98653,0.01248,0,0.001,0.01252,300.248,0,0,0,0,1
53,0,0.01272,9275.43,6.28511,0,-3.7622,-3.7622,0.01272,0,0.001,0.0127592,300.27,0,0,0,0,1
54,0,0.01296,10901.2,6.1547,0,-3.53788,-3.53788,0.01296,0,0.001,0.0129985,300.293,0,0,0,0,1
55,0,0.0132,11795.1,6.1018,0,-3.31997,-3.31997,0.0132,0,0.001,0.0132378,300.317,0,0,0,0,1
56,0,0.01344,11810.7,6.14191,0,-3.10978,-3.10978,0.01344,0,0.001,0.0134772,300.344,0,0,0,0,1
57,0,0.01368,11826.2,6.18202,0,-2.89958,-2.89958,0.01368,0,0.001,0.0137165,300.37,0,0,0,0,1
58,0,0.01392,11841.7,6.22214,0,-2.68938,-2.68938,0.01392,0,0.001,0.0139559,300.397,0,0,0,0,1
59,0,0.01416,11857.3,6.26225,0,-2.47919,-2.47919,0.01416,0,0.001,0.0141953,300.423,0,0,0,0,1
60,0,0.0144,10374.4,6.36816,0,-2.29643,-2.29643,0.0144,0,0.001,0.0144347,300.452,0,0,0,0,1
61,0,0.01464,8741.6,6.48064,0,-2.11642,-2.11642,0.01464,0,0.001,0.0146741,300.481,0,0,0,0,1
62,0,0.01488,7108.84,6.59313,0,-1.93641,-1.93641,0.01488,0,0.001,0.0149136,300.51,0,0,0,0,1
63,0,0.01512,5476.08,6.70562,0,-1.75639,-1.75639,0.01512,0,0.001,0.015153,300.539,0,0,0,0,1
64,0,0.01536,4428.96,6.75641,0,-1.60701,-1.60701,0.01536,0,0.001,0.0153925,300.569,0,0,0,0,1
65,0,0.0156,4406.71,6.69925,0,-1.51123,-1.51123,0.0156,0,0.001,0.015632,300.601,0,0,0,0,1
66,0,0.01584,4384.47,6.64208,0,-1.41546,-1.41546,0.01584,0,0.001,0.0158715,300.633,0,0,0,0,1
67,0,0.01608,4362.22,6.58491,0,-1.31968,-1.31968,0.01608,0,0.001,0.0161111,300.665,0,0,0,0,1
68,0,0.01632,4339.97,6.52775,0,-1.2239,-1.2239,0.01632,0,0.001,0.0163506,300.697,0,0,0,0,1
69,0,0.01656,4341.08,6.53064,0,-1.16516,-1.16516,0.01656,0,0.001,0.0165902,300.734,0,0,0,0,1
70,0,0.0168,4347.38,6.54688,0,-1.11464,-1.11464,0.0168,0,0.001,0.0168297,300.772,0,0,0,0,1
71,0,0.01704,4353.67,6.56312,0,-1.06413,-1.06413,0.01704,0,0.001,0.0170693,300.81,0,0,0,0,1
72,0,0.01728,4359.97,6.57936,0,-1.01362,-1.01362,0.01728,0,0.001,0.0173089,300.848,0,0,0,0,1
73,0,0.01752,4368.7,6.60181,0,-0.955459,-0.955459,0.01752,0,0.001,0.0175485,300.888,0,0,0,0,1
74,0,0.01776,4383.95,6.64081,0,-0.876917,-0.876917,0.01776,0,0.001,0.0177881,300.931,0,0,0,0,1
75,0,0.018,4399.21,6.67982,0,-0.798375,-0.798375,0.018,0,0.001,0.0180278,300.975,0,0,0,0,1
76,0,0.01824,4414.46,6.71882,0,-0.719833,-0.719833,0.01824,0,0.001,0.0182674,301.018,0,0,0,0,1
77,0,0.01848,4429.71,6.75783,0,-0.64129,-0.64129,0.01848,0,0.001,0.018507,301.062,0,0,0,0,1
78,0,0.01872,4427.66,6.75249,0,-0.55816,-0.55816,0.01872,0,0.001,0.0187467,301.107,0,0,0,0,1
79,0,0.01896,4419.14,6.73053,0,-0.473308,-0.473308,0.01896,0,0.001,0.0189864,301.152,0,0,0,0,1
